table1,exp1,table2,exp2,table3,exp3,timestamp
,,,,,,
RELIANCE,2024-10-31,VEDL,2024-10-31,INFY,2024-10-31,2024-10-09 15:31:05.321960
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 15:55:54.741797
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:09:31.856277
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:14:26.329826
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:14:31.021896
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:14:34.851051
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:22:57.179206
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:24:06.750357
GAIL,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:24:19.807012
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:24:23.440422
RELIANCE,31-10-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:25:49.047081
ABB,28-11-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:25:52.177815
RELIANCE,28-11-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:26:06.851333
ABB,28-11-2024,VEDL,31-10-2024,INFY,31-10-2024,2024-10-09 16:26:12.560267
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-01 23:45:22.938751
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-01 23:45:23.232382
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-01 23:45:23.835654
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:34:35.897411
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:36:11.414307
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:38:30.594391
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:39:30.194119
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:41:22.222642
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:43:39.973724
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:49:23.136494
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 00:57:29.116337
ABB,28-08-2025,VEDL,28-08-2025,INFY,28-08-2025,2025-08-02 01:02:34.944837
